Date,Open,High,Low,Close,Volume,Close_Prev_Day,Gap,Day_Num,SMA_5,SMA_10,UpDown
2013-01-16,6049.0,6055.9501953125,5992.0498046875,6001.85009765625,0,6056.60009765625,-7.60009765625,2,6000.48994140625,5998.969970703125,1
2013-01-17,6001.25,6053.2001953125,5988.10009765625,6039.2001953125,0,6001.85009765625,-0.60009765625,3,6014.6,6001.939990234375,1
2013-01-18,6059.85009765625,6083.39990234375,6048.2998046875,6064.39990234375,0,6039.2001953125,20.64990234375,4,6037.22001953125,6006.764990234375,1
2013-01-21,6085.75,6094.35009765625,6065.10009765625,6082.2998046875,130900,6064.39990234375,21.35009765625,0,6048.87001953125,6016.15498046875,0
2013-01-22,6080.14990234375,6101.2998046875,6040.5,6048.5,129000,6082.2998046875,-2.14990234375,1,6047.25,6020.8349609375,1
2013-01-23,6052.85009765625,6069.7998046875,6021.14990234375,6054.2998046875,137000,6048.5,4.35009765625,2,6057.73994140625,6029.11494140625,0
2013-01-24,6046.2001953125,6065.2998046875,6007.85009765625,6019.35009765625,185200,6054.2998046875,-8.099609375,3,6053.769921875,6034.1849609375,1
2013-01-25,6024.5,6080.5498046875,6014.4501953125,6074.64990234375,147600,6019.35009765625,5.14990234375,4,6055.819921875,6046.519970703125,1
2013-01-28,6082.10009765625,6088.39990234375,6061.39990234375,6074.7998046875,113100,6074.64990234375,7.4501953125,0,6054.319921875,6051.594970703125,0
2013-01-29,6064.7001953125,6111.7998046875,6042.4501953125,6049.89990234375,157600,6074.7998046875,-10.099609375,1,6054.59990234375,6050.924951171875,1
2013-01-30,6065.0,6071.9501953125,6044.14990234375,6055.75,124200,6049.89990234375,15.10009765625,2,6054.88994140625,6056.31494140625,0
2013-01-31,6045.64990234375,6058.0498046875,6025.14990234375,6034.75,168500,6055.75,-10.10009765625,3,6057.969921875,6055.869921875,0
2013-02-01,6040.9501953125,6052.9501953125,5983.2001953125,5998.89990234375,159300,6034.75,6.2001953125,4,6042.819921875,6049.319921875,0
2013-02-04,6025.2001953125,6038.5,5981.25,5987.25,141700,5998.89990234375,26.30029296875,0,6025.3099609375,6039.81494140625,0
2013-02-05,5948.2001953125,5970.35009765625,5946.89990234375,5956.89990234375,136200,5987.25,-39.0498046875,1,6006.7099609375,6030.654931640625,1
2013-02-06,5988.0498046875,5990.89990234375,5953.14990234375,5959.2001953125,157800,5956.89990234375,31.14990234375,2,5987.4,6021.144970703125,0
2013-02-07,5936.4501953125,5978.5,5927.60009765625,5938.7998046875,157600,5959.2001953125,-22.75,3,5968.2099609375,6013.08994140625,0
2013-02-08,5929.10009765625,5953.7001953125,5883.64990234375,5903.5,192600,5938.7998046875,-9.69970703125,4,5949.12998046875,5995.974951171875,0
2013-02-11,5920.0498046875,5924.14990234375,5879.10009765625,5897.85009765625,122000,5903.5,16.5498046875,0,5931.25,5978.27998046875,1
2013-02-12,5894.35009765625,5927.64990234375,5886.4501953125,5922.5,142800,5897.85009765625,-3.5,1,5924.37001953125,5965.539990234375,1
2013-02-13,5943.14990234375,5969.5,5922.9501953125,5932.9501953125,142600,5922.5,20.64990234375,2,5919.12001953125,5953.260009765625,0
2013-02-14,5933.2001953125,5940.2001953125,5884.5498046875,5896.9501953125,143800,5932.9501953125,0.25,3,5910.75009765625,5939.480029296875,0
2013-02-15,5869.9501953125,5899.9501953125,5853.89990234375,5887.39990234375,125100,5896.9501953125,-27.0,4,5907.530078125,5928.330029296875,1
2013-02-18,5888.64990234375,5911.0,5878.4501953125,5898.2001953125,114300,5887.39990234375,1.25,0,5907.60009765625,5919.425048828125,1
2013-02-19,5900.2001953125,5947.5498046875,5883.14990234375,5939.7001953125,101000,5898.2001953125,2.0,1,5911.04013671875,5917.705078125,1
2013-02-20,5966.2998046875,5971.0,5937.5498046875,5943.0498046875,135400,5939.7001953125,26.599609375,2,5913.06005859375,5916.0900390625,0
